C,pooled_auc,pooled_ap,mean_fold_auc,std_fold_auc,min_fold_auc,n_active_features,apoe4_dose_signed_coef
0.01,0.5,0.6434782608695652,0.5,0.0,0.5,0,0.0
0.03,0.5,0.6434782608695652,0.5,0.0,0.5,0,0.0
0.1,0.46638101516150293,0.6980137406747489,0.5971604938271605,0.24407596307430146,0.0,4,0.211099658262331
0.3,0.4808833223467369,0.6545398806835707,0.483395061728395,0.19767170904616607,0.1111111111111111,43,0.5986982886036707
1.0,0.5161502966381015,0.6653708040652399,0.5280864197530865,0.20839070997738193,0.1111111111111111,79,1.127991282515667
3.0,0.5375741595253789,0.6857306360169917,0.537962962962963,0.20400230639649436,0.1111111111111111,82,2.676826143783847
10.0,0.5524060646011866,0.7048172061938913,0.539567901234568,0.18465828333279316,0.17777777777777778,83,4.628609188670472
