fold,auc,ap
1,0.7083333333333334,0.8865936147186148
2,0.37500000000000006,0.5660714285714286
3,0.52,0.789157509157509
4,0.17777777777777778,0.5288939455606123
5,0.7111111111111111,0.7510461760461762
6,0.7333333333333334,0.8487093153759822
7,0.5555555555555556,0.7935083435083436
8,0.375,0.6925925925925925
9,0.7,0.8333333333333334
