feature,mean_signed_coef,mean_abs_coef,n_folds_pos,n_folds_neg,n_folds_nonzero,sign_consistency
expr_ENSG00000086758,0.14928230923893027,0.14928230923893027,4,0,4,1.0
expr_ENSG00000164733,-0.147779510906363,0.147779510906363,0,2,2,1.0
expr_ENSG00000198087,0.127662647759798,0.127662647759798,4,0,4,1.0
expr_ENSG00000255823,0.12405125809105232,0.12405125809105232,3,0,3,1.0
expr_ENSG00000273079,0.12277343034405594,0.12277343034405594,2,0,2,1.0
expr_ENSG00000248905,0.027042228904212835,0.12015509632098964,3,1,4,0.75
expr_ENSG00000198888,0.11507908783913577,0.11507908783913577,1,0,1,1.0
expr_ENSG00000127184,0.11203273663515301,0.11203273663515301,5,0,5,1.0
expr_ENSG00000274012,0.10625867733712385,0.10625867733712385,2,0,2,1.0
expr_ENSG00000112195,-0.07756449254169358,0.10610502521038687,1,2,3,0.6666666666666666
expr_ENSG00000086289,-0.1028621833095738,0.1028621833095738,0,2,2,1.0
expr_ENSG00000106460,0.09921035992628197,0.09921035992628197,2,0,2,1.0
expr_ENSG00000198015,-0.09912080936644653,0.09912080936644653,0,4,4,1.0
expr_ENSG00000214300,-0.09324448697874178,0.09324448697874178,0,4,4,1.0
expr_ENSG00000109684,-0.09154614221835705,0.09154614221835705,0,1,1,1.0
expr_ENSG00000196549,0.0864471198627477,0.0864471198627477,3,0,3,1.0
expr_ENSG00000100599,0.08064012714261633,0.08064012714261633,2,0,2,1.0
expr_ENSG00000249853,-0.07768326912020623,0.07768326912020623,0,3,3,1.0
expr_ENSG00000148429,-0.07749770753324098,0.07749770753324098,0,3,3,1.0
expr_ENSG00000163539,-0.07700576372765403,0.07700576372765403,0,1,1,1.0
expr_ENSG00000124602,0.07276202937291046,0.07276202937291046,2,0,2,1.0
expr_ENSG00000159640,-0.07089502570166276,0.07089502570166276,0,2,2,1.0
expr_ENSG00000089916,0.07036371134051997,0.07036371134051997,1,0,1,1.0
expr_ENSG00000179526,0.05909336120100114,0.06737697761512357,1,1,2,0.5
expr_ENSG00000210117,-0.06636762502321233,0.06636762502321233,0,1,1,1.0
expr_ENSG00000203710,0.06332146549608932,0.06332146549608932,2,0,2,1.0
expr_ENSG00000073921,0.06293322025408969,0.06293322025408969,2,0,2,1.0
expr_ENSG00000164796,-0.061241414722859405,0.061241414722859405,0,5,5,1.0
expr_ENSG00000157368,-0.0563788176026154,0.0563788176026154,0,3,3,1.0
expr_ENSG00000108219,0.05452528854366027,0.05452528854366027,2,0,2,1.0
expr_ENSG00000161640,0.053534179706635925,0.053534179706635925,2,0,2,1.0
expr_ENSG00000085514,-0.04255599706793153,0.04780655505206049,1,2,3,0.6666666666666666
expr_ENSG00000129003,-0.04465983523448191,0.04465983523448191,0,1,1,1.0
expr_ENSG00000126856,-0.043473525306525644,0.043473525306525644,0,2,2,1.0
expr_ENSG00000157741,-0.04277727486796114,0.04277727486796114,0,1,1,1.0
expr_ENSG00000071051,-0.04173258133391829,0.04173258133391829,0,1,1,1.0
expr_ENSG00000137845,0.041349578771722996,0.041349578771722996,2,0,2,1.0
expr_ENSG00000122484,-0.04107609552544173,0.04107609552544173,0,1,1,1.0
expr_ENSG00000145348,-0.039014054764294454,0.039014054764294454,0,1,1,1.0
expr_ENSG00000196975,-0.03877501773334584,0.03877501773334584,0,2,2,1.0
expr_ENSG00000210049,-0.036065245393151785,0.036065245393151785,0,2,2,1.0
expr_ENSG00000133019,-0.03442318797014693,0.03442318797014693,0,1,1,1.0
expr_ENSG00000095585,-0.03420811678444373,0.03420811678444373,0,1,1,1.0
expr_ENSG00000161929,0.032564793125342634,0.032564793125342634,1,0,1,1.0
