fold,auc,ap
1,0.65,0.6845238095238095
2,,
3,0.775,0.6488095238095238
4,,
5,0.7555555555555555,0.8804945054945057
6,0.7,0.8938736263736263
7,0.44999999999999996,0.591587579087579
8,0.68,0.7592857142857143
9,0.31428571428571433,0.48714285714285716
