feature,mean_abs_coef
expr_ENSG00000154122,8.411426307390332
apoe4_dose,8.31749762599426
expr_ENSG00000165029,6.64923041345995
expr_ENSG00000151150,6.024713425658558
expr_ENSG00000064687,5.160459369318799
expr_ENSG00000005379,4.896445106491904
expr_ENSG00000080815,4.858697069496039
expr_ENSG00000108219,4.7583467193823035
expr_ENSG00000030582,4.694125085033978
expr_ENSG00000128923,4.4830053674933215
apoe4_carrier,4.38477296420209
expr_ENSG00000164733,4.261911555823136
expr_ENSG00000196549,4.231713060729887
expr_ENSG00000115825,4.1335108787574955
expr_ENSG00000161640,4.12891816987112
expr_ENSG00000103507,4.016457998425477
expr_ENSG00000073921,3.9519312659654346
expr_ENSG00000087589,3.949120282945495
expr_ENSG00000100599,3.839017792116344
expr_ENSG00000073712,3.796821497509768
expr_ENSG00000127184,3.7517419081178756
expr_ENSG00000103241,3.5302385655327297
expr_ENSG00000203710,3.511297793473268
expr_ENSG00000106460,3.5071040227369696
expr_ENSG00000134243,3.4979051127790575
expr_ENSG00000137845,3.3744585777579497
expr_ENSG00000159640,3.280535115444895
expr_ENSG00000149927,3.092555733000916
expr_ENSG00000138442,3.0710222106075284
expr_ENSG00000124602,2.9815546600949707
expr_ENSG00000095585,2.9665556471737897
expr_ENSG00000091536,2.88647355984913
expr_ENSG00000109684,2.779603387916298
expr_ENSG00000120899,2.7273258643343175
expr_ENSG00000178573,2.7127464608410627
expr_ENSG00000138613,2.6066575957664657
expr_ENSG00000003147,2.601721809546124
expr_ENSG00000110077,2.59965022014236
expr_ENSG00000131042,2.5815597515543804
expr_ENSG00000120885,2.547277676902345
expr_ENSG00000197943,2.5327848033044846
expr_ENSG00000168421,2.510622205560183
expr_ENSG00000153814,2.4832957515220864
expr_ENSG00000066336,2.44028102938844
expr_ENSG00000085514,2.3543446586911903
expr_ENSG00000138600,2.296180649266108
expr_ENSG00000146904,2.293590968638054
expr_ENSG00000151694,2.2869670825907624
expr_ENSG00000074266,2.2751541558808936
expr_ENSG00000107679,2.2461132086879685
expr_ENSG00000071051,2.234041409478972
expr_ENSG00000136717,2.1816298343151472
expr_ENSG00000198087,2.163010734354367
expr_ENSG00000154734,2.1618942951583824
expr_ENSG00000112195,2.1557513362255056
expr_ENSG00000113108,2.119013848279225
expr_ENSG00000103811,2.09803508245455
expr_ENSG00000165806,2.0940305261044325
expr_ENSG00000219545,2.0291148418699416
expr_ENSG00000186815,1.9593829787790038
expr_ENSG00000168918,1.9539905506977462
expr_ENSG00000132432,1.9196762379890953
expr_ENSG00000148429,1.81404053072681
expr_ENSG00000126856,1.808394569309934
expr_ENSG00000028528,1.7754303050008122
expr_ENSG00000167716,1.7147495256630436
expr_ENSG00000137642,1.6752957132585546
expr_ENSG00000140090,1.6071583913917005
expr_ENSG00000145901,1.604064478464867
expr_ENSG00000125826,1.5927286994512868
expr_ENSG00000108379,1.5783623857206932
expr_ENSG00000179526,1.5704288315349784
expr_ENSG00000146090,1.567135820918848
expr_ENSG00000214300,1.4566779513064458
expr_ENSG00000142192,1.4062881206071536
expr_ENSG00000237541,1.374249477060159
expr_ENSG00000110079,1.3530189130613837
expr_ENSG00000086289,1.3444981725566183
expr_ENSG00000249853,1.2735686992691262
expr_ENSG00000161929,1.2681303695659571
expr_ENSG00000157368,1.0139877962969266
expr_ENSG00000127415,0.8922151669673831
