fold,auc,ap
1,0.0,0.3179563492063492
2,,
3,0.5750000000000001,0.48525641025641025
4,,
5,0.6888888888888889,0.8093745760412427
6,0.3375,0.6607242757242757
7,0.525,0.6433035714285714
8,0.6,0.6866666666666665
9,0.4,0.4009090909090909
