fold,auc,ap
1,0.0,0.3179563492063492
2,,
3,0.275,0.251984126984127
4,,
5,0.7555555555555555,0.8894500561167229
6,0.05,0.5443750693750694
7,0.425,0.6907127594627596
8,0.19999999999999998,0.40793650793650793
9,0.0,0.2855050505050505
