feature,mean_abs_coef
apoe4_dose,0.025959062065963587
expr_ENSG00000030582,0.022617348635728306
expr_ENSG00000168918,0.019438530113662592
expr_ENSG00000080815,0.019144391031245638
expr_ENSG00000108219,0.018862158438094474
expr_ENSG00000120899,0.018836413746480412
expr_ENSG00000128923,0.018496099039513728
expr_ENSG00000237541,0.01783916851537628
expr_ENSG00000086289,0.017781760106085127
expr_ENSG00000103507,0.016884633458850565
expr_ENSG00000005379,0.016808411498817115
expr_ENSG00000164733,0.016223030786171114
expr_ENSG00000142192,0.016060350431210416
expr_ENSG00000198087,0.015885325339202075
expr_ENSG00000249853,0.015510983891931177
expr_ENSG00000085514,0.015333369574500837
expr_ENSG00000110079,0.015241773246284927
expr_ENSG00000127415,0.015050534127546637
expr_ENSG00000124602,0.014495680697108533
expr_ENSG00000120885,0.01437963270313896
expr_ENSG00000126856,0.014311781958393869
expr_ENSG00000138442,0.014096712362645548
expr_ENSG00000186815,0.013864740453937737
expr_ENSG00000137642,0.013368268480476012
expr_ENSG00000196549,0.013285038609544856
expr_ENSG00000151694,0.013168316860912157
expr_ENSG00000100599,0.013146134118145232
expr_ENSG00000138600,0.01290632142309166
expr_ENSG00000112195,0.012901884244617665
expr_ENSG00000214300,0.012882606625569781
expr_ENSG00000137845,0.012795513083006105
expr_ENSG00000073921,0.012292987393037748
expr_ENSG00000167716,0.012287456449833383
expr_ENSG00000148429,0.012267266702694683
expr_ENSG00000074266,0.012244722287105823
expr_ENSG00000110077,0.012093536074617592
expr_ENSG00000109684,0.011773747224403872
expr_ENSG00000154122,0.011706942664981816
expr_ENSG00000136717,0.011576228713428609
expr_ENSG00000140090,0.011542529311772184
expr_ENSG00000145901,0.011300050332304969
expr_ENSG00000203710,0.011250755949724078
expr_ENSG00000028528,0.011087208698403862
expr_ENSG00000131042,0.011027609311676864
expr_ENSG00000113108,0.010982614186936891
expr_ENSG00000106460,0.010755906334782399
expr_ENSG00000157368,0.010745811730404148
expr_ENSG00000154734,0.010738598208405755
expr_ENSG00000103241,0.010598564337544527
expr_ENSG00000168421,0.010411828405045969
expr_ENSG00000219545,0.01036733015354931
expr_ENSG00000165029,0.010187258011843357
expr_ENSG00000159640,0.010126444686772965
apoe4_carrier,0.010059375434903657
expr_ENSG00000115825,0.00996375123288545
expr_ENSG00000151150,0.009721441026509832
expr_ENSG00000161929,0.009705397349828837
expr_ENSG00000132432,0.009518412067521968
expr_ENSG00000095585,0.00943293316946605
expr_ENSG00000138613,0.00943255003937246
expr_ENSG00000197943,0.009431091002031225
expr_ENSG00000066336,0.009392675062777626
expr_ENSG00000178573,0.009364458502525359
expr_ENSG00000103811,0.009213292664146847
expr_ENSG00000161640,0.00918356634943701
expr_ENSG00000107679,0.009133298497761158
expr_ENSG00000073712,0.009093930973249164
expr_ENSG00000003147,0.009043512125344887
expr_ENSG00000125826,0.008970055267180648
expr_ENSG00000149927,0.008764448511072819
expr_ENSG00000091536,0.008553045755107498
expr_ENSG00000153814,0.008408883100753056
expr_ENSG00000165806,0.008370195289230086
expr_ENSG00000134243,0.008178243288845963
expr_ENSG00000071051,0.008077371721869194
expr_ENSG00000127184,0.008052112315085206
expr_ENSG00000146904,0.008031870883940747
expr_ENSG00000087589,0.007988094903952843
expr_ENSG00000146090,0.007907600012621672
expr_ENSG00000064687,0.007434019341755947
expr_ENSG00000108379,0.007392627118517605
expr_ENSG00000179526,0.007240374155781317
